,Latitude,Logitude,VWC
203,896382.2646,4645701.757,-0.06995045308186215
204,896391.6638,4645701.757,-0.05462434801074051
205,896401.0631,4645701.757,-0.06336185771465536
206,896410.4623,4645701.757,-0.02168384314435512
207,896419.8616,4645701.757,0.0323640735607979
208,896429.2609,4645701.757,-0.0710715070337849
209,896438.6601,4645701.757,-0.035166906309788304
210,896448.0594,4645701.757,-0.07830197581078091
211,896457.4587,4645701.757,-0.03849353272688988
212,896466.8579,4645701.757,-0.06310044709675788
213,896476.2572,4645701.757,-0.06249965913837907
214,896485.6564,4645701.757,-0.003586474151132002
215,896495.0557,4645701.757,-0.03616006878327749
216,896504.455,4645701.757,-0.0750740763439463
217,896513.8542,4645701.757,-0.060091415373548396
218,896523.2535,4645701.757,-0.0587717833961518
219,896532.6528,4645701.757,-0.059350692336281374
220,896542.052,4645701.757,-0.057820879864026065
221,896551.4513,4645701.757,-0.06152821368400191
222,896560.8505,4645701.757,-0.07661999876127801
223,896570.2498,4645701.757,-0.058143433042062265
224,896579.6491,4645701.757,-0.0577794540126883
225,896589.0483,4645701.757,-0.060104765877380784
226,896598.4476,4645701.757,-0.052033532495867396
227,896607.8468,4645701.757,-0.05058286748528629
228,896617.2461,4645701.757,-0.056990394890708784
229,896626.6454,4645701.757,0.054411468006059005
230,896636.0446,4645701.757,-0.0628900273621722
231,896645.4439,4645701.757,-0.054697216989687936
232,896654.8432,4645701.757,-0.07150966895839778
233,896664.2424,4645701.757,-0.07246373610491891
234,896673.6417,4645701.757,-0.055131537915015794
235,896683.0409,4645701.757,-0.055667665847903114
236,896692.4402,4645701.757,-0.05530068246098052
237,896701.8395,4645701.757,-0.05831189561734068
238,896711.2387,4645701.757,-0.06031342619744362
239,896720.638,4645701.757,-0.055601357104266
240,896730.0373,4645701.757,-0.062186179788489004
241,896739.4365,4645701.757,-0.055592671179658604
242,896748.8358,4645701.757,-0.057652388587445424
243,896194.2793,4645692.358,-0.06909956459438593
244,896203.6786,4645692.358,-0.06158941913267979
245,896213.0778,4645692.358,-0.06524160532910178
246,896222.4771,4645692.358,-0.0430269127226825
247,896231.8764,4645692.358,-0.06044677400614146
248,896241.2756,4645692.358,-0.06087119012170311
249,896250.6749,4645692.358,-0.055089793786618324
250,896260.0741,4645692.358,-0.06070577321594123
251,896269.4734,4645692.358,-0.04848675147229359
252,896278.8727,4645692.358,-0.061242171186675964
253,896288.2719,4645692.358,-0.047511950913894097
254,896297.6712,4645692.358,-0.0602522596093541
255,896307.0705,4645692.358,-0.06015321003628793
256,896316.4697,4645692.358,-0.061590223504282005
257,896325.869,4645692.358,-0.06185932152620166
258,896335.2682,4645692.358,-0.062246194228039176
259,896344.6675,4645692.358,-0.06438420465292
260,896354.0668,4645692.358,-0.06444423143579697
261,896363.466,4645692.358,-0.050462897352663294
262,896372.8653,4645692.358,-0.05178393266232362
263,896382.2646,4645692.358,-0.05322690635500771
264,896391.6638,4645692.358,-0.0542671056834243
265,896401.0631,4645692.358,-0.06919463943938636
266,896410.4623,4645692.358,-0.053830054964583596
267,896419.8616,4645692.358,-0.030330914613716176
268,896429.2609,4645692.358,-0.047782961321040485
269,896438.6601,4645692.358,0.04079864668667077
270,896448.0594,4645692.358,-0.057396427115863125
271,896457.4587,4645692.358,-0.07275540628464972
272,896466.8579,4645692.358,-0.006365847646750189
273,896476.2572,4645692.358,0.023961895048792592
274,896485.6564,4645692.358,-0.006934512448298402
275,896495.0557,4645692.358,-0.05655852355552593
276,896504.455,4645692.358,-0.05870327402838671
277,896513.8542,4645692.358,-0.05871580791212977
278,896523.2535,4645692.358,-0.05808799790637614
279,896532.6528,4645692.358,-0.0584416219532265
280,896542.052,4645692.358,-0.059265267347488604
281,896551.4513,4645692.358,-0.06082208362780528
282,896560.8505,4645692.358,-0.04430763467700849
283,896570.2498,4645692.358,-0.03916335049264308
284,896579.6491,4645692.358,-0.05663336338737801
285,896589.0483,4645692.358,-0.0725218200324726
